"02/17/2017","-1.01","*","","PURCHASE AUTHORIZED ON 02/17 THE FRESH MARKET I CHARLOTTE NC P00307048827394892 CARD 1412"
"02/17/2017","-6.50","*","","PURCHASE AUTHORIZED ON 02/16 TRADER JOE'S #744 CHARLOTTE NC S387047784628755 CARD 1412"
"02/17/2017","199.00","*","","SCHWAB BANK P2P 170217 JESSICA BATTLE JESSICA BATTLE"
"02/16/2017","-15.05","*","","PURCHASE AUTHORIZED ON 02/16 SHELL Service Station CHARLOTTE NC P00387048041758569 CARD 1412"
"02/16/2017","-20.37","*","","PURCHASE AUTHORIZED ON 02/16 Barnes and Nobl 4020 S Charlotte TX P00307047839287040 CARD 1412"
"02/16/2017","-2.05","*","","PURCHASE AUTHORIZED ON 02/15 MCDONALD'S F13052 CHARLOTTE NC S307046661610143 CARD 1412"
"02/16/2017","-5.58","*","","PURCHASE AUTHORIZED ON 02/15 HARRIS TEETER #370 FORT MILL SC S307046626604555 CARD 1412"
"02/16/2017","-4.89","*","","PURCHASE AUTHORIZED ON 02/14 WENDYS 57 FORT MILL SC S307045624212363 CARD 1412"
"02/16/2017","125.00","*","","ATM CHECK DEPOSIT ON 02/16 801 KENILWORTH AVE CHARLOTTE NC 0008797 ATM ID 6708C CARD 1412"
"02/15/2017","-9.64","*","","PURCHASE AUTHORIZED ON 02/15 WHOLEFDS APK #10 6610 CHARLOTTE NC P00387046651450773 CARD 1412"
"02/15/2017","-3.66","*","","PURCHASE AUTHORIZED ON 02/14 QT 1075 9701 FORT MILL SC S467045634052854 CARD 1412"
"02/15/2017","-4.24","*","","PURCHASE AUTHORIZED ON 02/13 BOJANGLES 941 0100 FORT MILL SC S587045010767378 CARD 1412"
"02/15/2017","-3.70","*","","PURCHASE AUTHORIZED ON 02/13 COOK OUT ROCK HILL SC S467044653664509 CARD 1412"
"02/14/2017","-6.32","*","","PURCHASE AUTHORIZED ON 02/14 Wal-Mart Super Center TEGA CAY SC P00000000675747703 CARD 1412"
"02/14/2017","-2.77","*","","PURCHASE AUTHORIZED ON 02/13 QT 1077 9701 FORT MILL SC S467044664997235 CARD 1412"
